MGS_ID,BCG_SUBFIND_ID,Host_FoF_ID,M200,R200,Sigma_cl,Sigma_cl_err,N_cl
0,0,0,1.52e+15,2422,1031,48,334
1,11748,1,1.31e+15,2304,1142,53,275
2,17908,2,1.04e+15,2136,836,59,128
3,27878,4,8.45e+14,1993,803,37,282
4,22736,3,9.36e+14,2063,1016,50,244
5,55060,10,6.35e+14,1812,912,47,156
6,1,0,8.46e+14,1994,891,46,247
7,64929,13,5.57e+14,1735,679,44,185
8,51512,9,6.43e+14,1820,832,44,205
9,68209,14,4.33e+14,1596,810,49,113
10,81618,19,4.67e+14,1636,866,53,107
11,102598,27,4.58e+14,1625,586,44,111
12,114186,32,4.07e+14,1563,705,46,125
13,42631,7,5.84e+14,1762,906,49,176
14,33174,5,9.29e+14,2057,856,41,237
15,120494,35,3.84e+14,1532,631,44,130
16,75826,17,4.18e+14,1577,706,46,134
17,157536,54,3.11e+14,1428,482,61,95
18,70146,15,4.97e+14,1670,681,42,149
19,122240,36,3.75e+14,1520,699,42,118
20,136963,43,3.45e+14,1479,555,40,131
21,47315,8,3.99e+14,1552,684,59,165
22,146890,48,3.24e+14,1448,620,60,87
23,160830,56,2.96e+14,1405,681,55,107
24,175556,64,2.80e+14,1379,538,41,113
25,183493,69,2.69e+14,1361,769,67,83
26,180645,67,2.78e+14,1376,744,65,83
27,86933,21,3.91e+14,1541,643,50,139
28,198208,79,2.53e+14,1334,558,50,73
29,138686,44,3.37e+14,1467,622,43,138
30,84201,20,4.39e+14,1603,613,41,136
31,58081,11,5.55e+14,1733,891,49,139
32,128624,39,3.40e+14,1472,660,49,91
33,152070,51,3.16e+14,1436,638,72,92
34,184677,70,2.61e+14,1347,357,43,47
35,187628,72,2.76e+14,1373,641,55,86
36,37492,6,4.61e+14,1629,747,49,177
37,164428,58,2.78e+14,1376,693,49,97
38,214510,90,2.46e+14,1320,605,61,69
39,37493,6,4.02e+14,1556,519,31,111
40,211746,88,2.24e+14,1280,536,41,72
41,162664,57,3.05e+14,1419,506,55,113
42,111937,31,3.93e+14,1544,611,53,100
43,61682,12,6.64e+14,1840,964,48,194
44,100238,26,2.92e+14,1399,536,42,121
45,196895,78,2.61e+14,1347,553,60,93
46,140473,45,3.17e+14,1438,553,40,104
47,92076,23,4.14e+14,1572,725,49,109
48,181998,68,2.77e+14,1374,591,48,105
49,216757,92,2.08e+14,1248,507,38,86
50,251630,120,2.03e+14,1240,535,71,59
51,285612,151,1.77e+14,1184,518,62,56
52,220542,95,1.86e+14,1203,601,46,70
53,78522,18,4.08e+14,1564,673,39,168
54,118255,34,3.90e+14,1541,625,44,159
55,235366,106,2.02e+14,1237,629,56,74
56,253650,122,2.02e+14,1237,444,58,83
57,199580,80,1.93e+14,1219,641,82,44
58,173751,63,2.87e+14,1391,497,33,123
59,186177,71,2.81e+14,1381,593,49,113
60,247170,116,1.99e+14,1232,615,60,75
61,89298,22,3.71e+14,1515,709,37,143
62,94753,24,3.71e+14,1516,571,38,135
63,177232,65,2.72e+14,1367,542,46,137
64,193825,76,2.47e+14,1322,645,64,77
65,217958,93,2.35e+14,1302,504,40,95
66,116080,33,3.75e+14,1520,575,30,142
67,263571,131,1.87e+14,1206,472,41,54
68,345893,217,1.45e+14,1107,390,71,33
69,130736,40,3.19e+14,1441,579,47,123
70,104399,28,4.73e+14,1643,627,55,161
71,280543,146,1.67e+14,1162,471,75,47
72,148391,49,3.36e+14,1466,669,53,120
73,266530,134,1.75e+14,1179,623,54,58
74,134864,42,1.97e+14,1227,560,62,81
75,357658,232,1.39e+14,1092,477,61,53
76,168095,60,2.91e+14,1397,493,45,121
77,302073,168,1.73e+14,1176,509,45,73
78,159038,55,2.43e+14,1316,426,60,80
79,259549,127,2.02e+14,1237,521,60,64
80,97407,25,2.26e+14,1284,589,69,66
81,269847,137,1.76e+14,1182,356,46,66
82,192574,75,1.35e+14,1081,481,58,48
83,322253,189,1.42e+14,1101,507,59,46
84,195434,77,2.30e+14,1292,618,40,91
85,260599,128,1.68e+14,1163,401,65,61
86,234128,105,1.38e+14,1089,513,60,63
87,236464,107,1.89e+14,1209,504,85,66
88,267741,135,1.68e+14,1164,507,54,66
89,240917,111,1.81e+14,1192,605,63,72
90,265569,133,2.00e+14,1232,476,60,57
91,208573,86,1.92e+14,1217,490,33,89
92,243651,113,2.01e+14,1235,519,54,85
93,132753,41,3.89e+14,1539,564,37,125
94,205477,84,1.58e+14,1140,473,43,54
95,244754,114,1.81e+14,1192,578,60,59
96,352149,225,1.28e+14,1062,451,88,47
97,106813,29,2.07e+14,1246,525,49,93
98,221891,96,2.16e+14,1266,526,42,96
99,68210,14,1.19e+14,1038,399,65,40
100,281465,147,1.88e+14,1208,564,55,70
101,150265,50,3.40e+14,1472,714,49,118
102,264563,132,1.79e+14,1189,505,53,61
103,239857,110,1.64e+14,1155,441,56,58
104,202722,82,1.42e+14,1100,469,49,49
105,273527,140,1.61e+14,1146,474,58,61
106,257224,125,1.34e+14,1079,481,66,32
107,300374,166,1.56e+14,1135,442,47,75
108,142408,46,1.76e+14,1182,538,68,53
109,297446,163,1.78e+14,1186,553,42,76
110,340025,210,1.29e+14,1065,340,50,28
111,47316,8,1.52e+14,1125,517,69,46
112,250514,119,1.74e+14,1178,563,84,73
113,351287,224,1.22e+14,1047,441,76,36
114,189037,73,2.04e+14,1240,649,53,96
116,153871,52,3.02e+14,1414,580,49,116
117,215607,91,1.64e+14,1155,591,63,47
118,227131,100,1.85e+14,1202,483,54,76
119,353539,227,1.21e+14,1044,423,83,46
120,124332,37,2.05e+14,1243,578,55,67
121,307862,174,1.29e+14,1065,485,51,50
122,178993,66,2.42e+14,1315,538,47,71
123,295353,161,1.71e+14,1170,454,60,70
124,429523,336,1.01e+14,983,397,109,32
125,72656,16,4.30e+14,1592,622,33,145
126,377068,258,1.14e+14,1024,370,55,43
127,126393,38,1.25e+14,1055,370,54,62
128,323749,191,1.57e+14,1139,593,102,46
129,109278,30,3.92e+14,1543,759,38,137
130,319273,186,1.47e+14,1112,446,43,85
131,298403,164,1.63e+14,1152,487,41,64
132,224397,98,2.42e+14,1314,555,63,79
133,315603,182,1.60e+14,1145,476,54,62
134,249440,118,1.93e+14,1219,529,51,72
135,126394,38,1.26e+14,1056,456,51,51
136,359570,235,1.24e+14,1052,463,49,55
137,237512,108,2.00e+14,1232,550,45,92
138,275987,142,1.46e+14,1110,476,71,68
139,262558,130,1.82e+14,1194,650,49,90
140,166136,59,2.18e+14,1269,569,59,88
141,278412,144,1.79e+14,1187,401,38,87
142,289454,155,1.78e+14,1187,496,61,55
143,203921,83,1.02e+14,984,338,48,31
144,170051,61,2.74e+14,1369,538,40,107
145,327054,195,1.50e+14,1121,392,32,58
146,202723,82,1.30e+14,1069,465,62,47
147,200926,81,2.76e+14,1372,627,35,121
148,391418,277,1.12e+14,1016,423,49,47
149,124333,37,1.76e+14,1182,522,56,63
150,279583,145,1.56e+14,1136,476,72,50
152,314629,181,1.17e+14,1031,521,75,39
153,219288,94,1.58e+14,1139,458,56,91
154,238666,109,1.88e+14,1209,519,51,57
155,283213,149,1.35e+14,1082,562,45,63
157,328787,197,1.39e+14,1093,416,64,52
158,248325,117,2.29e+14,1289,566,57,69
159,336600,206,1.33e+14,1076,413,62,52
160,375696,256,1.26e+14,1056,454,41,47
162,321422,188,1.65e+14,1157,475,40,82
164,362897,239,1.14e+14,1021,421,57,44
165,190677,74,2.08e+14,1250,526,56,67
166,343433,214,1.40e+14,1094,416,35,68
167,232872,104,1.58e+14,1140,341,50,84
169,424030,327,1.00e+14,979,459,68,39
170,245923,115,1.29e+14,1066,531,76,66
171,312721,179,1.50e+14,1121,548,47,51
172,252434,121,1.70e+14,1169,569,57,53
173,350629,223,1.31e+14,1071,404,58,52
174,288533,154,1.89e+14,1209,539,57,46
175,348355,220,1.28e+14,1063,540,54,55
176,171961,62,2.90e+14,1396,721,42,101
177,366250,243,1.21e+14,1043,437,50,54
178,345066,216,1.29e+14,1065,457,45,54
179,286408,152,1.67e+14,1162,509,55,72
180,223141,97,2.30e+14,1292,478,50,84
181,392679,279,1.19e+14,1038,397,51,50
