Host_MGS_ID,Subfind_ID,x,y,z,vx,vy,vz,m_star,age_star
0,0,64959,72830,217521,472,451,-261,7.84e+12,11.52
0,2,65675,72472,218292,2022,1495,-1797,8.47e+11,11.42
0,4,65402,73265,218289,-260,-2222,-564,3.26e+11,11.18
0,32,65666,72874,218079,-203,2810,562,9.38e+10,9.68
0,38,65212,70224,218668,402,588,711,9.92e+10,10.92
0,40,64150,70845,218705,-53,536,-672,1.15e+11,11.81
0,42,65051,72038,218193,1757,836,-373,1.53e+11,11.77
0,43,64669,73471,218116,-884,2126,168,5.75e+10,9.26
0,46,63190,71938,218240,-756,1278,-279,6.81e+10,11.10
0,51,64021,71356,218669,1112,1422,-1191,1.42e+11,11.49
0,53,64650,72114,218315,24,-3,-1260,1.36e+11,11.23
0,54,64688,73495,218412,-439,2460,-326,6.70e+10,7.69
0,57,64727,72138,217802,-632,1627,-351,1.16e+11,12.06
0,58,64805,72274,218050,-491,1446,-1916,1.19e+11,11.76
0,60,64751,72610,217735,-1187,742,-299,9.92e+10,11.55
0,65,63934,72740,218470,76,1109,1156,7.37e+10,11.24
0,66,65619,71658,217574,414,3184,560,3.91e+10,8.37
0,67,66469,71643,216719,315,-1528,-404,2.53e+10,6.92
0,70,66301,71677,217377,372,2714,-544,3.40e+10,7.65
0,72,65051,70673,218151,-373,720,-800,7.25e+10,10.56
0,73,64388,72130,217999,1768,-335,-659,1.07e+11,11.42
0,74,64295,70572,218113,-921,2736,1041,3.64e+10,7.40
0,77,64466,71128,218728,447,1160,-948,8.35e+10,11.73
0,81,64761,73055,217508,-854,1789,-540,6.59e+10,10.67
0,85,64893,72476,218272,1315,1113,205,8.42e+10,11.57
0,88,64529,71609,218886,-1193,-1562,-140,4.17e+10,10.54
0,90,64587,72459,217808,-1652,2811,-105,6.36e+10,10.51
0,91,65277,73027,218568,-206,-2166,-884,6.75e+10,10.02
0,98,64246,71328,218018,875,-1786,201,4.27e+10,10.87
0,100,64060,74004,218109,-976,1343,-561,3.33e+10,6.95
0,103,64046,72862,217634,-647,1044,640,5.78e+10,11.82
0,105,64620,72035,217450,-751,1339,2552,5.68e+10,10.30
0,106,63607,72873,218497,674,-40,-857,5.23e+10,11.64
0,112,64773,72872,217432,722,1984,-3050,2.88e+10,6.00
0,114,64553,71366,217861,550,-1912,771,4.29e+10,9.67
0,116,64831,71434,218731,2186,523,-635,4.45e+10,11.76
0,117,65004,69906,217569,1116,1518,145,4.50e+10,11.13
0,119,65820,72757,216906,-381,-1586,157,3.19e+10,10.46
0,125,63961,71941,216989,-827,-294,-352,4.49e+10,11.72
0,126,66960,71231,216811,710,2035,-1366,1.78e+10,7.95
0,128,64590,73472,219001,713,212,-1863,3.73e+10,10.62
